frame,oggetto_id,x,y,w,h
30,1,1416,187,155,144
30,2,31,31,145,140
30,3,446,709,154,151
31,1,1418,189,152,141
31,2,32,32,145,140
31,3,446,708,154,151
32,1,1416,188,155,144
32,2,33,33,142,137
32,3,446,708,154,151
33,1,1419,189,152,141
33,2,33,32,142,137
33,3,446,708,154,151
34,1,1418,189,152,141
34,2,31,31,145,140
34,3,446,709,154,151
35,1,1416,188,155,144
35,2,32,32,145,140
35,3,446,708,154,151
36,1,1417,188,155,144
36,2,33,33,142,137
36,3,446,708,154,151
37,1,1418,189,152,141
37,2,33,33,142,137
37,3,446,708,154,151
38,1,1416,188,155,144
38,2,31,31,145,140
38,3,446,709,154,151
39,1,1417,188,155,144
39,2,32,32,145,140
39,3,446,708,154,151
40,1,1418,189,152,141
40,2,33,34,142,137
40,3,446,709,154,151
41,1,1416,188,155,144
41,2,33,33,142,137
41,3,446,708,154,151
42,1,1417,188,155,144
42,2,32,31,145,140
42,3,446,709,154,151
43,1,1417,188,155,144
43,2,33,33,142,137
43,3,446,708,154,151
44,1,1419,189,152,141
44,2,33,33,142,137
44,3,446,709,154,151
45,1,1418,189,152,141
45,2,33,33,142,137
45,3,446,708,154,151
46,1,1416,188,155,144
46,2,32,31,145,140
46,3,446,709,154,151
47,1,1417,189,155,144
47,2,33,33,142,137
47,3,446,708,154,151
48,1,1417,188,155,144
48,2,33,33,142,137
48,3,446,709,154,151
49,1,1417,188,155,144
49,2,32,31,145,140
49,3,446,709,154,151
50,1,1417,188,155,144
50,2,33,33,142,137
50,3,447,709,154,151
51,1,1419,189,152,141
51,2,33,33,142,137
51,3,446,708,154,151
52,1,1417,188,155,144
52,2,33,33,142,137
52,3,446,709,154,151
53,1,1419,189,152,141
53,2,32,31,145,140
53,3,446,709,154,151
54,1,1417,188,155,144
54,2,33,33,142,137
54,3,446,708,154,151
55,1,1417,188,155,144
55,2,33,33,142,137
55,3,446,709,154,151
56,1,1417,188,155,144
56,2,32,31,145,140
56,3,446,709,154,151
57,1,1419,189,152,141
57,2,33,33,142,137
57,3,446,709,154,151
58,1,1417,188,155,144
58,2,33,33,142,137
58,3,446,708,154,151
59,1,1417,188,155,144
59,2,32,31,145,140
59,3,446,709,154,151
60,1,1417,188,155,144
60,2,33,33,142,137
60,3,446,709,154,151
61,1,1418,188,155,144
61,2,32,32,145,140
61,3,446,709,154,151
62,1,1417,188,155,144
62,2,33,33,142,137
62,3,446,709,154,151
63,1,1418,189,155,144
63,2,33,33,142,137
63,3,447,709,154,151
64,1,1416,189,155,144
64,2,33,32,145,140
64,3,446,708,154,151
65,1,1415,191,155,144
65,2,34,35,142,137
65,3,445,708,154,151
66,1,1412,193,155,144
66,2,36,36,142,137
66,3,443,707,154,151
67,1,1409,196,155,144
67,2,39,40,142,137
67,3,441,705,154,151
68,1,1403,200,158,147
68,2,42,42,142,137
68,3,438,703,154,151
69,1,1396,204,158,147
69,2,45,46,142,137
69,3,433,699,157,154
70,1,1391,210,158,147
70,2,49,50,142,137
70,3,428,695,157,154
71,1,1383,215,161,150
71,2,53,54,142,137
71,3,424,692,157,154
72,1,1375,221,161,150
72,2,57,60,142,137
72,3,421,689,154,151
73,1,1367,227,161,150
73,2,63,64,142,137
73,3,415,685,157,154
74,1,1360,235,158,147
74,2,68,69,145,140
74,3,410,682,154,151
75,1,1352,241,158,147
75,2,72,74,145,140
75,3,405,679,154,151
76,1,1343,249,158,147
76,2,79,80,145,140
76,3,400,674,154,151
77,1,1336,256,158,147
77,2,83,85,145,140
77,3,396,670,154,151
78,1,1328,263,158,147
78,2,88,91,145,140
78,3,389,666,154,151
79,1,1319,269,158,147
79,2,94,97,145,140
79,3,386,662,154,151
80,1,1311,276,158,147
80,2,98,101,145,140
80,3,378,658,154,151
81,1,1303,282,158,147
81,2,104,107,145,140
81,3,374,655,154,151
82,1,1296,288,158,147
82,2,109,112,145,140
82,3,370,650,154,151
83,1,1287,295,158,147
83,2,113,118,145,140
83,3,364,647,154,151
84,1,1279,302,158,147
84,2,119,123,145,140
84,3,359,643,154,151
85,1,1271,307,158,147
85,2,123,128,145,140
85,3,355,640,154,151
86,1,1266,314,158,147
86,2,128,133,145,140
86,3,350,634,157,154
87,1,1258,319,158,147
87,2,132,137,145,140
87,3,346,633,154,151
88,1,1251,324,161,150
