Frame,Particle_ID,X,Y,Width,Height
21,1,536,854,2,2
21,2,528,852,6,2
21,3,560,844,2,2
21,4,594,798,6,4
21,5,598,792,4,4
21,6,456,776,2,2
21,7,596,768,2,2
21,8,596,764,2,2
21,9,566,726,4,2
21,10,488,722,2,2
21,11,518,712,2,2
21,12,1514,326,2,2
21,13,1462,318,2,2
21,14,1458,316,2,2
21,15,1542,308,2,2
21,16,1442,302,2,2
21,17,1564,270,2,2
21,18,1426,232,2,2
21,19,1434,222,2,2
21,20,1454,202,2,2
21,21,1468,194,2,2
21,22,1514,192,2,2
21,23,90,164,4,2
21,24,60,150,2,2
21,25,42,130,2,4
21,26,164,58,2,2
21,27,42,58,2,4
21,28,150,44,2,2
21,29,145,41,1,1
21,30,134,34,2,2
21,31,92,26,2,2
22,1,522,852,12,2
22,2,560,844,2,2
22,3,466,818,2,2
22,4,594,800,2,2
22,5,456,792,2,2
22,6,456,784,2,6
22,7,456,776,2,2
22,8,596,768,2,2
22,9,596,764,2,2
22,10,568,726,2,2
22,11,488,722,2,2
22,12,1514,326,2,2
22,13,1462,318,2,2
22,14,1530,316,2,2
22,15,1458,316,2,2
22,16,1542,308,2,2
22,17,1442,302,2,2
22,18,1434,292,2,2
22,19,1432,288,2,2
22,20,1564,270,2,2
22,21,1424,270,2,2
22,22,1426,232,2,2
22,23,1434,222,2,2
22,24,1544,208,2,2
22,25,1448,206,2,2
22,26,1468,194,2,2
22,27,90,164,4,2
22,28,60,150,2,2
22,29,42,132,2,2
22,30,164,58,2,2
22,31,42,58,2,2
22,32,150,44,2,2
22,33,144,40,2,2
22,34,134,34,2,2
22,35,92,26,2,2
23,1,528,852,6,2
23,2,560,844,2,2
23,3,584,826,2,2
23,4,584,822,4,2
23,5,468,822,2,2
23,6,594,800,2,2
23,7,456,792,2,2
23,8,456,784,2,6
23,9,596,768,2,2
23,10,596,764,2,2
23,11,460,760,2,2
23,12,568,726,2,2
23,13,1514,326,2,2
23,14,1530,316,2,2
23,15,1542,308,2,2
23,16,1556,292,2,2
23,17,1434,292,2,2
23,18,1432,288,2,2
23,19,1424,272,2,2
23,20,1426,232,2,2
